Obs,λ4428,λ4964,λ5494,λ5513,λ5545,λ5546,λ5769,λ5780,λ5797,5850,λ6196,λ6270,λ6284,λ6376,λ6379,λ6614,E(B-V),N(HI),N(H2),N(H),f(H2),F*,W(λ5797)/W(λ5780)
Z(HD 15137),1.7096572676894666,0.1764692508004334,1.184341917874743,-0.7650333986040029,0.13274795827253594,-1.3783077033453217,0.6072181052314088,1.3320795456778216,1.079661214233542,0.38039055049012144,0.7352995009123431,0.9211568203434848,1.8607507922367492,0.5355308438982597,0.7168517329171359,0.7682080483241432,0.22528447914379862,0.7299619849943845,0.5117263107717561,0.642855116848487,0.5962086662272805,-2.0341080373121176,0.21598710770175986
Z(HD 22951),-0.08472960257335932,-0.08524730600018716,-0.9680057606715753,-0.958313852972456,-0.02587985562255597,0.23190558236019654,-0.5042183567600109,-0.29476743365563185,-0.07079435944271208,0.23447657604335648,-0.3846690460886011,-0.81380806254683,-0.08287610617486853,-0.4775777616603086,0.037530972390318294,-0.3516288808493725,-0.16359944318775854,0.5513100210166018,0.7923513221672009,0.6525125802401318,0.9485201982079388,-0.42463595815256555,0.5276748684175796
Z(HD 23180),-0.26105663606739427,0.9441711507489206,0.07268982016400731,1.3127314858568662,0.9032259114772678,1.0370122252129557,1.7533869566600606,-0.48262800393215793,0.7080855009964913,0.8910894610537989,-0.11063418884368909,-0.1738619991856483,-0.4929142003570573,0.2422625633418321,0.9962497876499395,0.007510740375467305,0.06973091021117579,0.23161703284583254,1.0949861383779746,0.5697343225974609,1.3821343914149027,0.0671471771461865,2.3978014327124986
Z(HD 23630),-0.4633141156634931,-0.9925313695756719,-0.8733970715047042,-1.2240744777290786,-1.249580134241836,-0.7073855009680224,0.051499874235698954,-1.0883824958442214,-1.114064631223663,-1.0276793029211608,-1.4093211210043586,-1.1835546769332905,-1.3546891779603014,-0.8908194297170929,-1.1019748194611174,-1.2593754825279044,-1.2524744257161189,-0.2761306542489184,0.0962912448824212,-0.30357629553271787,0.7588139886798921,0.29068496591834675,-0.6567386223025355
Z(HD 24398),-0.13918353938769365,0.3334991848808058,-0.16383190275317053,0.12888870285009196,-0.0485409718932835,0.09772114188473659,0.12096465311016276,-0.32543854717016657,0.6294829462732688,0.8546109674421076,0.175315227411871,-0.6715978262443452,-0.5079720964710925,0.46887896195361706,1.2701694491526885,0.16587151823838858,0.45861483254273316,0.10938147854524435,1.2875719305121034,0.5766325107343501,1.5989414880183848,0.2459774081639147,1.7744259112808591
Z(HD 24534),-0.26364968067760064,1.1360966257360423,0.35651588766462056,0.008088418869808862,0.6992758650407211,0.7686433442620358,1.7186545672228286,-0.3931705895147646,0.7509596217546124,0.9786378457218579,0.175315227411871,-0.11697790466465431,-0.6921417489427535,0.2422625633418321,0.9414658553493896,0.3581667485005074,0.7697219704079789,0.02475686402945259,2.289018049609573,1.0167369138678841,2.059656568300784,0.3353925236727788,2.2107887762830067
Z(HD 24760),-0.4710932494941123,-0.9401880582155479,-0.6605275208792442,-1.0066339665645692,-1.0909523203467442,-1.288851409695015,-0.19162685182492403,-0.6244819039368816,-0.8711112802609758,-0.9255395208084252,-0.9208242015677766,-0.6289347553535998,-0.3712927317436962,-1.117435828328878,-0.8170983714982586,-0.8521620537375348,-1.096920856783496,-0.24792244941032113,0.09078879367858897,-0.28564100637680584,0.5691077791518453,-0.6481737469247253,-0.5320635180162077
Z(HD 24912),1.1547457211052978,0.49052911896117796,0.21460285391431394,-0.6200730578276632,0.585970283687084,-0.3048321795416429,0.08623226367293085,0.9256872916102349,0.48299636701635446,0.4898260313251952,0.9497615631040134,0.892714773082988,1.5572762705538858,0.5755219730650454,0.38266974588378205,0.7427572090247454,0.3808380480764217,0.7299619849943845,0.9326638278649233,0.853939673837298,0.9485201982079388,0.022439619391754456,-0.03336310087089587
Z(HD 27778),-0.03546175497943781,0.24626033261393232,-0.35304928108691297,-0.4026325466631536,0.38202023725053735,0.634458903786576,0.016767484798467205,-0.5017974498787422,-0.01720170849506047,-0.21056104601927686,-0.348925369056656,-0.9631288106644391,-0.23345506731522048,-0.09099684638138114,-0.3130861943332005,-0.21871894228584904,1.0030523238069133,-0.2761306542489184,1.4443917898213225,0.3724461418824284,2.2222618907533955,1.6319116985513067,1.0263752855628914
Z(HD 35149),-0.6474202829881472,-0.7133670423216767,-0.7787883823378331,-1.0307940233606256,-0.8416800413687426,-1.3783077033453217,-0.15689446238769222,-0.8672948859269493,-0.9318496180016477,-0.6410072706372336,-0.7897640524506448,-0.5720506608326058,-0.6944583483449128,-1.0374535699953067,-0.9376230225594681,-0.8917522482032653,-1.0191440723171845,-0.07867322037873747,0.008252025621105216,-0.20286274873413485,0.05419092471857542,-1.2740795554867734,-0.4073884137298796
Z(HD 35715),-0.7329907551249583,-0.9750835991222973,-1.1808753112970354,-0.9824739097685125,-1.1815967854296539,-1.0652106755692485,-0.5042183567600109,-1.1663382426936642,-1.235541306705007,-1.1006362901445432,-1.349748325951117,-1.169333653303042,-0.9562340807889089,-1.0641143227731638,-1.1129316059212273,-1.2424082563283056,-1.4080279946487417,-0.19150603973312658,-4.492820103831332e-10,-0.28977909147636294,-9.077464910384075e-09,-0.7375888624335893,-1.0307639351615192
Z(HD 36822),-0.05361306725088257,-0.9227402877621732,-1.109918794421882,-0.57175294423555,-0.9776467389931072,-0.0811914454158765,-0.4000211884483153,-0.5286346742039602,-0.7674988217621829,-0.8671739310297192,-0.6706184623441614,-0.7782555034712089,-0.36318463383613897,-0.690863783883165,-0.713008900127214,-1.002039218500657,-1.096920856783496,0.12818694843764253,0.057774086455595466,-0.02626913242977012,0.16259447302031643,-0.37992840039813347,-0.46972596587304366
Z(HD 36861),-0.26364968067760064,-0.399307174160932,-0.6841796931709618,-0.2093520922947006,-0.7057133437443782,0.052992995059583464,-0.22635924126215595,-0.982311561606455,-0.5209726274029854,-0.23974384090862974,-1.0518843506849083,-1.1124495587820482,-1.0002494694299349,-0.5308992672160227,-0.9266662360993582,-1.089703220531917,-0.8635905033845616,0.08117327370664708,0.035764281640266474,-0.07179717413323915,0.10839269886944594,-1.1399568822234778,1.338063046278711
Z(HD 40111),0.6102063529619548,-0.8180536650419249,-0.8024405546295508,-1.272394591321192,-0.6150688786614686,0.052992995059583464,0.39882376860801766,0.4068342879893531,-0.19941672171707595,-0.8744696297520576,-0.08680507082239249,-0.23785660552176638,0.8472385537920734,-0.09099684638138114,-0.5596138896856745,-0.348801009816106,-0.8635905033845616,0.25982523768442983,0.1485645313188276,0.11583354319014838,0.32519979547292793,-1.4976173442589338,-0.4073884137298796
Z(HD 110432),0.9758256430010566,0.24626033261393232,-0.4713101425455019,-0.35431243307104043,-0.25249101832983006,-0.5732010604925625,-0.6431479145089384,0.14612982311580702,-0.10294995001130298,0.2782507683773858,0.5089228797100247,0.6509573713687639,0.5460806315113699,-0.22430061027066645,0.5086727901750464,0.5900521732283568,1.3919362461384706,0.18460335811483708,1.2022839368527036,0.5890492493807508,1.4905379397166438,1.5424965830424426,-0.09570065301405989
Z(HD 144217),-0.19104443159182155,-0.5912326491480537,-0.8260927269212686,-1.0066339665645692,-0.5017632973078316,-0.9310262350937888,-0.5042183567600109,0.3851089159165577,-0.7353432311935918,-0.6628943668042483,-0.027232275769150764,0.32387382787304864,0.24723930863282575,-0.49090813804923705,-0.4993515641550697,-0.07166964855599353,-0.24137622765407007,0.67354557531719,0.18708168974565337,0.4386687479965652,0.27099802132205747,-0.06697549611710915,-0.9684263830183554
Z(HD 145502),0.205691393769757,-0.6261281900548031,0.049037647872289404,-0.5959130010316066,-0.43377994849564927,-0.483744766842256,0.2946266002963221,0.7799995024161942,-0.14939691416593426,-0.24703953963096809,0.04425507829473926,0.003900796192457739,0.714034088167916,-0.11765759915923824,0.377191352653727,0.1517321630720563,-0.08582265872144704,0.6171291656399951,0.21459394576481464,0.4110759954490082,0.32519979547292793,-0.11168305387154119,-0.5320635180162077
Z(HD 147165),0.9550812861194055,-0.13759061736031142,0.4984289214149272,-0.04023169472230442,-0.41111883222492196,-0.5284729136674093,-0.46948596732277903,1.458597888925278,-0.2351451556821769,0.08126690287425313,0.449350084656783,0.4234209932847879,0.8831458445255418,0.2955840688975463,-0.11038564482116611,0.22242893890371768,0.7697219704079789,1.5762081301523028,0.1705743361341566,1.0926169833736659,0.1354935859448812,-0.29051328488926936,-0.8437512787320274
Z(HD 147933),1.9456243272182487,2.287649475658773,0.35651588766462056,2.0616932465346216,0.45000358606271973,1.707934427590255,3.316344481335495,1.0726530438673811,0.6902212840139408,1.09536902527927,0.3897772896035413,0.3167633160579243,0.41519276528937193,0.9087813827882586,0.26762348805262737,0.2563633913029152,1.2363826772058475,3.531976998961713,1.0234542727281555,2.9551277803337626,0.40650245669923374,1.184836121006987,0.028974451272268147
Z(HD 149757),0.18754008149831225,-0.050351765093437875,-0.18748407504488845,-0.5475928874394933,-0.139185436976193,-0.2601040327164896,0.2251618214218583,-0.7765595084464504,-0.1886981915275455,-0.10112556518420311,-0.4084981641098977,-0.25918814096713916,-0.7639563304096906,0.2955840688975463,-0.3514349469435853,-0.198923845052984,0.6141684014753558,0.005951394137054345,1.2297961928718648,0.4717800510536336,1.7073450363201257,1.006005889989259,1.4627381505650392
Z(HD 164284),0.4727749886210158,-0.7657103536818007,-1.0153101052550109,-0.7167132850118897,-0.6603911112029235,-0.7073855009680224,-0.5042183567600109,-0.40211633095650373,-0.8603927500714456,-1.1079319888668815,-0.8255077294825899,-0.33740377093350593,-0.30874454788539635,-0.91748018249495,-0.6472681813665542,-0.7503586965399426,-0.7858137189182501,-0.08807595532493658,0.19533536655140174,-0.11594557820933034,0.6775113274535863,0.29068496591834675,-0.7190761744456995
Z(HD 170740),0.8565455909315624,0.6301112825881757,1.066081056416154,0.8053702931396772,1.129837074184542,0.6791870506117291,0.08623226367293085,1.462431778114595,0.9081647312010571,0.657627101938975,1.4978312775938374,2.2934856006624633,1.2931839387077306,1.628621707790399,2.059058074280606,1.9502581402295214,1.314159461672159,0.5231018161780044,1.9918856846026316,1.2333400213662067,1.5718406009429493,0.8718832167259629,-0.03336310087089587
Z(HD 198478),2.8220734054680103,1.2756787893630397,1.0424288841244365,0.12888870285009196,1.243142655538179,0.8580996379123425,-0.22635924126215595,2.424737964633126,1.3261874085927396,1.3871969741728,2.3080212903179245,2.3361486715532087,2.7978152504101685,1.6686128369571849,1.2920830220729087,2.18214356495737,1.7030433840037162,1.4351671059593163,2.0386565198352056,1.925918110309887,1.1382264077359856,-0.06697549611710915,-0.15803820515722392
Z(HD 202904),0.09678352014108839,-0.7657103536818007,-0.8260927269212686,-0.8375135689921729,-1.2042579017003812,-0.8862980882686354,-0.4000211884483153,-1.0398198994462078,-1.149793065188764,-0.9984965080318077,-1.2067736178233368,-0.3729563300091271,-0.6458097608995683,-0.7575156658278077,-0.6253546084463343,-0.9907277343675912,-0.9413672878508731,-0.26672791930271933,0.0385155072421826,-0.3256504975707635,0.2980989083974927,-1.9446929218032536,-0.8437512787320274
Z(HD 207198),2.018229576304028,3.0902469165140096,3.123820045795602,2.738174836824207,3.2146597710914633,3.0497788323448534,2.6564290820280894,1.5736145646047837,3.3841452049825604,3.320557135592436,2.2127048182327376,1.6179869782256608,1.0337248056658936,2.8416859591828953,2.667159722816708,1.9332909140299228,2.0141505218689617,2.7045363236961935,1.8598268557106574,2.7674970630103757,0.7588139886798921,0.3353925236727788,1.6497508069945312
Z(HD 209975),1.3699684237524288,0.3334991848808058,1.6337331914173812,-0.8133535121961162,1.1071759579138143,0.6791870506117291,-0.6084155250717066,1.3844760312651518,1.2011378897148859,0.7962453776634016,1.5693186316577272,1.6108764664105364,1.1843037668062453,2.2418190216811116,1.2263423033122487,1.7155448444684056,0.45861483254273316,0.7299619849943845,0.3301454210452919,0.5517990334415488,0.433603343774669,-1.1399568822234778,0.2783246598449239
Z(HD 214680),-0.36996450969606287,-1.044874680935796,-0.4003536256703484,-0.8375135689921729,-1.0456300878052893,-0.483744766842256,-0.5389507461972427,-0.8570711814221044,-0.6353036160913088,-0.8525825335850428,-0.9923115556316666,-0.7995870389165816,-0.8021802205453182,-0.3042828686042376,-1.0197989210102927,-1.0557687681327195,-1.0191440723171845,-0.012854075755343839,0.04676918404793098,-0.13526050499262024,0.16259447302031643,-1.4529097865045015,0.46533731627441594
Z(HD 214993),-0.7044672644126879,-0.5039937968811802,-1.3937448619224955,-0.885833682584286,-1.1136134366174715,-0.8415699414434823,-0.5389507461972427,-0.6040344949271917,-0.8675384368644657,-1.0714534952551902,-0.7301912573974031,-0.7427029443955876,-0.3573931353307408,-0.5708903963828081,-0.5048299573851247,-1.002039218500657,-1.1746976412498076,0.062367803814248834,0.11830104969775022,-0.04420442158568216,0.3523006825483633,-0.6481737469247253,-0.5944010701593715
Z(HD 218376),0.6802185574375275,-0.3120683218940585,-0.04557104129458161,-0.3301523762749838,-0.02587985562255597,-0.8862980882686354,-0.3652887990110834,0.1640213059992854,0.029245255659571066,0.11774539648594437,0.056169637305387564,0.7931676076712486,0.43720045960988463,0.3355751980643317,0.7606788787575756,0.35533887746724113,-0.3969297965866929,0.35385258714642076,0.3879211586855305,0.3048438981409138,0.650410440378151,-1.0058342089601817,0.09131200341543216
